Phase,Phase_Description,Module_Code,Module_Friendly_Name,Module_File,Method,Endpoint_Path,Endpoint_Name_Friendly,Handler_Function
System,System Endpoints,System,Service Health Check,main.py,GET,/astro/health,Health,health
Phase 0,Foundation (Day 0 - May 15),Doshas,All Doshas Combined,main.py,POST,/astro/doshas,Doshas,doshas
Phase 0,Foundation (Day 0 - May 15),Muhurtha (legacy),Auspicious Time - Legacy,main.py,POST,/astro/muhurtha,Muhurtha,muhurtha
Phase 0,Foundation (Day 0 - May 15),Core Charting,Birth Chart,main.py,POST,/astro/chart,Chart,natal_chart
Phase 0,Foundation (Day 0 - May 15),Career (legacy),Career - Legacy Single Endpoint,main.py,POST,/astro/career,Career,career
Phase 0,Foundation (Day 0 - May 15),Career (legacy),Career - Legacy Single Endpoint,main.py,POST,/astro/career/d10_deep_dive,D10 Deep Dive,career_d10_ep
Phase 0,Foundation (Day 0 - May 15),Career (legacy),Career - Legacy Single Endpoint,main.py,POST,/astro/career/karaka_analysis,Karaka Analysis,career_karaka_ep
Phase 0,Foundation (Day 0 - May 15),Career (legacy),Career - Legacy Single Endpoint,main.py,POST,/astro/career/natural_fields,Natural Fields,career_fields_ep
Phase 0,Foundation (Day 0 - May 15),Career (legacy),Career - Legacy Single Endpoint,main.py,POST,/astro/career/professional_dasha,Professional Dasha,career_dasha_ep
Phase 0,Foundation (Day 0 - May 15),Career (legacy),Career - Legacy Single Endpoint,main.py,POST,/astro/career/profile,Profile,career_profile_ep
Phase 0,Foundation (Day 0 - May 15),Career (legacy),Career - Legacy Single Endpoint,main.py,POST,/astro/career/timing,Timing,career_timing_ep
Phase 0,Foundation (Day 0 - May 15),Ashtakavarga,Cumulative Strength (Ashtakavarga),main.py,POST,/astro/ashtakavarga,Ashtakavarga,ashtakavarga
Phase 0,Foundation (Day 0 - May 15),Divisional Charts,Divisional Charts (D-charts),main.py,POST,/astro/divisional/{div},Divisional,divisional
Phase 0,Foundation (Day 0 - May 15),Jaimini,Karaka System (Jaimini),main.py,POST,/astro/jaimini,Jaimini,jaimini
Phase 0,Foundation (Day 0 - May 15),Lal Kitab,Lal Kitab System,lal_kitab.py,POST,/astro/lalkitab,Lalkitab,lalkitab
Phase 0,Foundation (Day 0 - May 15),Manglik,Mars Dosha (Manglik),main.py,POST,/astro/manglik,Manglik,manglik
Phase 0,Foundation (Day 0 - May 15),Compatibility,Match-making (Compatibility - legacy),main.py,POST,/astro/compatibility,Compatibility,compatibility
Phase 0,Foundation (Day 0 - May 15),Special,Misc Classical Checks,main.py,POST,/astro/special,Special,special
Phase 0,Foundation (Day 0 - May 15),Core Charting,Planet Positions,main.py,POST,/astro/planets,Planets,planets
Phase 0,Foundation (Day 0 - May 15),Planetary Strength,Planet Strength (Shadbala),main.py,POST,/astro/shadbala,Shadbala,shadbala
Phase 0,Foundation (Day 0 - May 15),Sade Sati,Saturn 7.5 Years (Sade Sati),main.py,POST,/astro/sadesati,Sadesati,sadesati
Phase 0,Foundation (Day 0 - May 15),Dasha Periods,Time Period Predictions (Dasha),main.py,POST,/astro/dasha,Dasha,dasha
Phase 0,Foundation (Day 0 - May 15),Dasha Periods,Time Period Predictions (Dasha),main.py,POST,/astro/dasha/current,Current,dasha_current
Phase A,Foundation Muhurta (May 15),Muhurta,Auspicious Time Picker,muhurta.py,POST,/astro/muhurta,Muhurta,muhurta_full
Phase A,Foundation Muhurta (May 15),Muhurta,Auspicious Time Picker,muhurta.py,POST,/astro/muhurta/abhijit,Abhijit,muhurta_abhijit
Phase A,Foundation Muhurta (May 15),Muhurta,Auspicious Time Picker,muhurta.py,POST,/astro/muhurta/choghadiya,Choghadiya,muhurta_choghadiya
Phase A,Foundation Muhurta (May 15),Muhurta,Auspicious Time Picker,muhurta.py,POST,/astro/muhurta/hora,Hora,muhurta_hora
Phase A,Foundation Muhurta (May 15),Muhurta,Auspicious Time Picker,muhurta.py,POST,/astro/muhurta/rahukaal,Rahukaal,muhurta_rahukaal
Phase A,Foundation Nakshatra (May 15),Nakshatra,Birth Star (Nakshatra),nakshatra.py,POST,/astro/nakshatra,Nakshatra,nakshatra_full
Phase A,Foundation Nakshatra (May 15),Nakshatra,Birth Star (Nakshatra),nakshatra.py,POST,/astro/nakshatra/all_planets,All Planets,nakshatra_all_planets
Phase A,Foundation Nakshatra (May 15),Nakshatra,Birth Star (Nakshatra),nakshatra.py,POST,/astro/nakshatra/compatibility,Compatibility,nakshatra_compatibility
